RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1.0,15634602.0,Hargrave,619,France,Female,,2,0.0,1.0,1,1,101348.88,1,1,2,DIAMOND,464
2.0,15647311.0,Hill,608,Spain,Female,41.0,1,83807.86,1.0,0,1,112542.58,0,1,3,DIAMOND,456
3.0,15619304.0,Onio,502,France,Female,42.0,8,159660.8,3.0,1,0,113931.57,,1,3,DIAMOND,377
4.0,15701354.0,Boni,699,France,Female,39.0,1,0.0,2.0,0,0,93826.63,0,invalid_value,5,GOLD,350
5.0,15737888.0,Mitchell,850,Spain,Female,,2,125510.82,1.0,1,1,invalid_value,0,0,5,GOLD,425
6.0,15574012.0,Chu,645,Spain,Male,44.0,8,113755.78,2.0,1,0,149756.71,1,1,5,DIAMOND,484
7.0,15592531.0,Bartlett,822,France,Male,50.0,7,0.0,2.0,1,1,10062.8,0,0,2,SILVER,206
8.0,15656148.0,Obinna,376,Germany,Female,29.0,4,115046.74,4.0,1,0,119346.88,1,1,2,DIAMOND,282
9.0,15792365.0,He,501,France,Male,44.0,4,142051.07,2.0,0,1,74940.5,0,0,3,GOLD,251
10.0,15592389.0,H?,684,invalid_value,Male,27.0,2,134603.88,1.0,1,1,71725.73,0,0,3,GOLD,invalid_value
11.0,15767821.0,Bearce,528,France,Male,31.0,6,102016.72,2.0,0,0,80181.12,0,0,3,GOLD,264
12.0,15737173.0,Andrews,497,Spain,Male,24.0,3,0.0,2.0,1,0,76390.01,0,0,3,GOLD,249
13.0,15632264.0,Kay,476,France,Female,34.0,10,0.0,2.0,1,0,26260.98,0,0,3,SILVER,119
14.0,15691483.0,Chin,549,France,Female,25.0,5,0.0,2.0,0,0,190857.79,0,0,3,PLATINUM,549
15.0,15600882.0,,635,Spain,Female,35.0,7,0.0,2.0,1,1,65951.65,invalid_value,0,2,GOLD,318
16.0,15643966.0,Goforth,616,,Male,45.0,3,143129.41,2.0,0,1,64327.26,0,0,5,GOLD,308
17.0,15737452.0,Romeo,653,Germany,Male,58.0,1,132602.88,1.0,1,0,invalid_value,1,0,2,SILVER,163
18.0,15788218.0,Henderson,549,Spain,Female,24.0,9,0.0,2.0,1,1,14406.41,0,0,3,SILVER,544
19.0,15661507.0,Muldrow,587,invalid_value,Male,45.0,6,0.0,1.0,0,0,158684.81,0,0,3,invalid_value,732
20.0,15568982.0,Hao,726,France,Female,24.0,6,0.0,2.0,1,1,54724.03,0,0,4,GOLD,477
21.0,15577657.0,McDonald,732,France,Male,41.0,8,0.0,2.0,1,1,170886.17,0,0,3,PLATINUM,568
22.0,15597945.0,invalid_value,636,Spain,Female,32.0,8,0.0,2.0,1,0,138555.46,0,0,2,DIAMOND,336
23.0,15699309.0,Gerasimov,510,Spain,Female,38.0,4,invalid_value,1.0,1,0,118913.53,1,1,2,DIAMOND,887
24.0,15725737.0,Mosman,669,France,Male,46.0,3,0.0,2.0,0,1,8487.75,0,0,2,SILVER,665
25.0,15625047.0,Yen,846,France,Female,38.0,5,0.0,1.0,1,1,187616.16,0,0,3,PLATINUM,225
26.0,15738191.0,Maclean,577,France,Male,25.0,3,0.0,invalid_value,0,1,124508.29,0,0,3,PLATINUM,659
27.0,15736816.0,Young,756,Germany,Male,36.0,2,136815.64,1.0,1,1,170041.95,0,0,5,DIAMOND,236
28.0,15700772.0,Nebechi,571,France,Male,44.0,9,0.0,2.0,0,0,38433.35,0,0,4,PLATINUM,448
29.0,15728693.0,McWilliams,574,Germany,Female,43.0,3,141349.43,1.0,1,1,100187.43,0,0,5,DIAMOND,499
30.0,15656300.0,Lucciano,411,France,Male,29.0,0,59697.17,2.0,1,1,53483.21,0,0,2,GOLD,343
31.0,15589475.0,Azikiwe,591,Spain,Female,39.0,3,0.0,3.0,1,0,140469.38,1,1,3,DIAMOND,298
32.0,15706552.0,Odinakachukwu,533,France,Male,36.0,7,,1.0,0,1,156731.91,0,0,5,SILVER,628
33.0,15750181.0,Sanderson,553,Germany,Male,41.0,9,110112.54,2.0,0,0,81898.81,0,0,3,GOLD,611
34.0,15659428.0,Maggard,520,Spain,Female,42.0,6,0.0,2.0,1,1,34410.55,0,0,2,SILVER,922
35.0,15732963.0,Clements,722,Spain,Female,29.0,9,0.0,2.0,1,1,142033.07,0,0,5,PLATINUM,276
36.0,15794171.0,Lombardo,475,France,Female,45.0,0,134264.04,1.0,1,0,27822.99,1,1,1,DIAMOND,877
37.0,15788448.0,Watson,490,Spain,Male,31.0,3,145260.23,1.0,0,1,114066.77,0,0,4,SILVER,471
38.0,15729599.0,Lorenzo,804,Spain,Male,,7,76548.6,1.0,0,1,invalid_value,0,0,2,GOLD,994
39.0,15717426.0,Armstrong,850,France,Male,36.0,7,0.0,1.0,1,1,,0,0,3,GOLD,944
40.0,15585768.0,Cameron,582,Germany,Male,invalid_value,6,70349.48,2.0,0,1,178074.04,0,0,5,GOLD,419
41.0,15619360.0,Hsiao,invalid_value,Spain,Male,40.0,4,0.0,1.0,1,0,70154.22,0,0,4,DIAMOND,545
42.0,15738148.0,Clarke,465,France,Female,51.0,8,122522.32,1.0,0,0,181297.65,1,1,5,SILVER,828
43.0,15687946.0,Osborne,556,France,Female,61.0,2,117419.35,1.0,1,1,94153.83,0,0,3,PLATINUM,789
44.0,15755196.0,Lavine,834,,Female,49.0,2,131394.56,1.0,0,0,194365.76,1,1,2,GOLD,567
45.0,15684171.0,Bianchi,660,Spain,Female,61.0,5,155931.11,1.0,1,1,158338.39,0,0,1,PLATINUM,884
46.0,15754849.0,Tyler,776,Germany,Female,32.0,4,109421.13,invalid_value,1,1,126517.46,0,0,1,SILVER,296
47.0,15602280.0,Martin,829,Germany,Female,27.0,9,112045.67,1.0,1,1,119708.21,1,1,3,DIAMOND,779
48.0,15771573.0,Okagbue,637,Germany,Female,39.0,9,137843.8,1.0,1,1,117622.8,1,1,1,SILVER,730
49.0,15766205.0,Yin,550,Germany,Male,38.0,2,103391.38,1.0,0,1,90878.13,0,0,3,DIAMOND,960
50.0,15771873.0,Buccho,776,Germany,Female,37.0,2,103769.22,2.0,1,0,194099.12,0,0,1,SILVER,268
